#one number
#first number = tile type
#second number = amount
#1 = little dot
#2 = big dot
#3 = ^> wall
#4 = <> wall
#5 = >v wall
#6 = ^V left side wall
#7 = v> wall
#8 = V< wall
#9 = ^v right side wall
#first row
3 1
4 14
4 12
5 1
#second row
6 1
1 13
1 13
9 1
#third row
6 1
1 1
3 1
4 2
5 1
1 1
3 1
4 3
5 1
1 1
3 1
5 1
1 1
3 1
4 3
5 1
1 1
3 1
4 2
5 1
1 1
9 1
#fourth row
6 1
2 1
6 1
0 2
9 1
1 1
6 1
0 3
9 1
1 1
9 1
6 1
1 1
6 1
0 3
9 1
1 1
6 1
0 2
9 1
2 1
9 1
#fifth row
6 1
1 1
7 1
4 2
8 1
1 1
7 1
4 3
8 1
1 1
7 1
8 1
1 1
7 1
4 3
8 1
1 1
7 1
4 2
8 1
1 1
9 1
#sixth row
6 1
1 1
1 25
9 1
6 1
1 1
3 1
4 2
5 1
1 1
3 1
5 1
1 1
3 1
4 6
5 1
1 1
3 1
5 1
1 1
3 1
4 2
5 1
1 1
9 1
#7th row
6 1
1 1
7 1
4 2
8 1
1 1
#1 = little dot
#2 = big dot
#3 = ^> wall
#4 = <> wall
#5 = >v wall
#6 = ^V left side wall
#7 = v> wall
#8 = V< wall
#9 = ^v right side wall
6 1
9 1
1 1
7 1
4 2
5 1
3 1
4 2
8 1
1 1
6 1
9 1
1 1
7 1
4 2
8 1
1 1
9 1
#8th row
6 1
1 6
6 1
9 1
1 4
9 1
6 1
1 4
6 1
#9th row
9 1
1 6
9 1
7 1
4 4
5 1
1 1
6 1
7 1
4 2
5 1
0 1
7 1
8 1
0 1
3 1
4 2
8 1
9 1
1 1
3 1
4 4
8 1
#10th row
0 5
9 1
1 1
6 1
3 1
4 2
8 1
0 4
7 1
4 2
5 1
9 1
1 1
6 1
0 5
#11th row
0 5
9 1
1 1
6 1
6 1
0 10
9 1
9 1
1 1
6 1
0 5
#12th row
4 5
9 1
1 1
7 1
8 1
0 1
3 1
4 6
5 1
0 1
9 1
9 1
1 1
7 1
4 5
0 6
1 1
9 1
6 1
0 1
6 1
0 6
9 1
0 1
9 1
6 1
1 1
0 6
#13th line
4 5
5 1
1 1
3 1
5 1
0 1
6 1
0 6
9 1
0 1
3 1
5 1
1 1
3 1
4 5
#14th line
0 5
9 1
1 1
6 1
9 1
0 1
7 1
4 6
8 1
0 1
6 1
9 1
1 1
6 1
0 5
#15th line
0 5
9 1
1 1
6 1
9 1
0 10
6 1
9 1
1 1
6 1
0 5
#16th line
3 1
4 4
8 1
1 1
7 1
8 1
0 1
3 1
4 6
5 1
0 1
7 1
8 1
1 1
7 1
4 4
5 1
6 1
1 9
7 1
4 2
5 1
3 1
4 2
8 1
1 9
9 1
#17th row
6 1
1 1
3 1
4 2
5 1
1 1
3 1
5 1
1 1
1 3
9 1
6 1
1 4
3 1
5 1
1 1
3 1
4 2
5 1
1 1
9 1
#18th row
6 1
1 1
7 1
4 1
5 1
9 1
1 1
7 1
8 1
1 1
3 1
5 1
1 1
9 1
6 1
1 1
3 1
5 1
1 1
7 1
8 1
1 1
6 1
3 1
4 1
8 1
1 1
9 1
#19th row
6 1
2 1
1 2
9 2
1 4
7 1
8 1
1 1
7 1
8 1
1 1
7 1
8 1
1 4
6 2
1 2
2 1
9 1
#20th row
7 1
4 1
5 1
1 1
9 2
1 7
0 2
1 7
6 2
1 1
3 1
4 1
8 1
3 1
4 1
8 1
1 1
7 1
8 1
1 1
3 1
5 1
1 1
3 1
4 6
5 1
1 1
3 1
5 1
1 1
7 1
8 1
1 1
7 1
4 1
5 1
#21st row
6 1
1 6
6 1
9 1
1 1
7 1
4 2
5 1
3 1
4 2
8 1
1 1
6 1
9 1
1 6
9 1
#22nd row
6 1
1 1
3 1
4 4
8 1
9 1
1 4
9 1
6 1
1 4
6 1
7 1
4 4
5 1
1 1
9 1
#23rd row
6 1
1 1
7 1
4 5
8 1
1 4
9 1
6 1
1 4
7 1
4 5
8 1
1 1
9 1
6 1
1 12
9 1
6 1
1 12
9 1
#24th line (last)
7 1
4 26
8 1
0 196
